Name,Glyph,Character,Filled?,Small?,Filled+Small?,Unicode,Aliases,Aliases (zh),Category,Tags
here,ko_ko-kata.box,🈁,x,,,U+1F201,japanese-here-button/koko,这里,alphanum,
secret,secret-han.circled,㊙️,x,,,U+3299,japanese-secret-button,秘,alphanum,
advantage,advantage.circle,🉐️,x,,,U+1F250,japanese-bargain-button,得,alphanum,
accept,accept.circle,🉑️,x,,,U+1F251,acceptable-button/japanese-acceptable-button,可,alphanum,
cao,uni8349.circled,,x,,,,,草,alphanum,
cao-alt,uni8279.circled,,x,,,,,艹,alphanum,
free-of-charge,uni7121.box,🈚️,x,,,U+1F21A,japanese-free-of-charge-button,无/無,alphanum,
prohibited,uni7981.box,🈲️,x,,,U+1F232,japanese-prohibited-button,禁,alphanum,
not-free-of-charge,uni6709.box,🈶️,x,,,U+1F236,japanese-not-free-of-charge-button,有,alphanum,
he,uni5475.box,,x,,,,,呵,alphanum,
ha,uni54C8.box,,x,,,,,哈,alphanum,
good,uni597D.box,,x,,,,,好,alphanum,
powerful,uni5F3A.box,,x,,,,,强,alphanum,
advantage-box,uni5F97.box,,x,,,,,得,alphanum,
like,uni8D5E.box,,x,,,,,赞,alphanum,
circle,circle,○,x,x,x,U+25CB,,,geomerty,
white-square,whitesquare,□,,x,,U+25A1,,,geomerty,
broken-heart,brokenHeart,💔,x,,,U+1F494,,,emotion,
hundred-points,hundredPointsSymbol,💯,,,,U+1F4AF,,,emotion,
grass-cao-symbol,grassCaoSymbol,,,,,,,,emotion,
bomb,bomb,💣,x,,,U+1F4A3,,,emotion,
speech-balloon,speechBalloon,💬,,x,x,U+1F4AC,,,emotion,
speech-balloon-empty,speechBalloonEmpty,,,x,x,,,,emotion,
speech-balloon-heart,speechBalloonHeart,,,,x,,,,emotion,
speech-balloon-info,speechBalloonInfo,,,,x,,,,emotion,
speech-balloon-question,speechBalloonQuestion,,,,x,,,,emotion,
mahjong-east-wind,eastWind-mahjong,🀀,,,,U+1F000,,,mahjong,
mahjong-south-wind,southWind-mahjong,🀁,,,,U+1F001,,,mahjong,
mahjong-west-wind,westWind-mahjong,🀂,,,,U+1F002,,,mahjong,
mahjong-north-wind,northWind-mahjong,🀃,,,,U+1F003,,,mahjong,
mahjong-red-dragon,redDragon-mahjong,🀄,x,,,U+1F004,,,mahjong,
mahjong-green-dragon,greenDragon-mahjong,🀅,,,,U+1F005,,,mahjong,
mahjong-white-dragon,whiteDragon-mahjong,🀆,x,,,U+1F006,,,mahjong,
mahjong-one-of-characters,oneOfCharacters-mahjong,🀇,,,,U+1F007,,,mahjong,
mahjong-two-of-characters,twoOfCharacters-mahjong,🀈,,,,U+1F008,,,mahjong,
mahjong-three-of-characters,threeOfCharacters-mahjong,🀉,,,,U+1F009,,,mahjong,
mahjong-four-of-characters,fourOfCharacters-mahjong,🀊,,,,U+1F00A,,,mahjong,
mahjong-five-of-characters,fiveOfCharacters-mahjong,🀋,,,,U+1F00B,,,mahjong,
mahjong-six-of-characters,sixOfCharacters-mahjong,🀌,,,,U+1F00C,,,mahjong,
mahjong-seven-of-characters,sevenOfCharacters-mahjong,🀍,,,,U+1F00D,,,mahjong,
mahjong-eight-of-characters,eightOfCharacters-mahjong,🀎,,,,U+1F00E,,,mahjong,
mahjong-nine-of-characters,nineOfCharacters-mahjong,🀏,,,,U+1F00F,,,mahjong,
mahjong-one-of-bamboos,oneOfBamboos-mahjong,🀐,,,,U+1F010,,,mahjong,
mahjong-one-of-bamboos-alt,oneOfBamboos-mahjong.ss02,,,,,U+1F010,,,mahjong,
mahjong-two-of-bamboos,twoOfBamboos-mahjong,🀑,x,,,U+1F011,,,mahjong,
mahjong-three-of-bamboos,threeOfBamboos-mahjong,🀒,x,,,U+1F012,,,mahjong,
mahjong-four-of-bamboos,fourOfBamboos-mahjong,🀓,x,,,U+1F013,,,mahjong,
mahjong-five-of-bamboos,fiveOfBamboos-mahjong,🀔,x,,,U+1F014,,,mahjong,
mahjong-six-of-bamboos,sixOfBamboos-mahjong,🀕,x,,,U+1F015,,,mahjong,
mahjong-seven-of-bamboos,sevenOfBamboos-mahjong,🀖,x,,,U+1F016,,,mahjong,
mahjong-eight-of-bamboos,eightOfBamboos-mahjong,🀗,x,,,U+1F017,,,mahjong,
mahjong-nine-of-bamboos,nineOfBamboos-mahjong,🀘,x,,,U+1F018,,,mahjong,
mahjong-one-of-circles,oneOfCircles-mahjong,🀙,x,,,U+1F019,,,mahjong,
mahjong-two-of-circles,twoOfCircles-mahjong,🀚,x,,,U+1F01A,,,mahjong,
mahjong-three-of-circles,threeOfCircles-mahjong,🀛,x,,,U+1F01B,,,mahjong,
mahjong-four-of-circles,fourOfCircles-mahjong,🀜,x,,,U+1F01C,,,mahjong,
mahjong-five-of-circles,fiveOfCircles-mahjong,🀝,x,,,U+1F01D,,,mahjong,
mahjong-six-of-circles,sixOfCircles-mahjong,🀞,x,,,U+1F01E,,,mahjong,
mahjong-seven-of-circles,sevenOfCircles-mahjong,🀟,x,,,U+1F01F,,,mahjong,
mahjong-eight-of-circles,eightOfCircles-mahjong,🀠,x,,,U+1F020,,,mahjong,
mahjong-nine-of-circles,nineOfCircles-mahjong,🀡,x,,,U+1F021,,,mahjong,
mahjong-plum,plum-mahjong,🀢,,,,U+1F022,,,mahjong,
mahjong-orchid,orchid-mahjong,🀣,,,,U+1F023,,,mahjong,
mahjong-bamboo,bamboo-mahjong,🀤,,,,U+1F024,,,mahjong,
mahjong-chrysanthemum,chrysanthemum-mahjong,🀥,,,,U+1F025,,,mahjong,
mahjong-spring,spring-mahjong,🀦,,,,U+1F026,,,mahjong,
mahjong-summer,summer-mahjong,🀧,,,,U+1F027,,,mahjong,
mahjong-autumn,autumn-mahjong,🀨,,,,U+1F028,,,mahjong,
mahjong-winter,winter-mahjong,🀩,,,,U+1F029,,,mahjong,
mahjong-joker,joker-mahjong,🀪,,,,U+1F02A,,,mahjong,
mahjong-back,back-mahjong,🀫,x,,,U+1F02B,,,mahjong,
brand-adobe-after-effects,adobeAfterEffects,,x,,,,,,brand,
brand-adobe-animate,adobeAnimate,,x,,,,,,brand,
brand-adobe-audition,adobeAudition,,x,,,,,,brand,
brand-adobe-illustrator,adobeIllustrator,,x,,,,,,brand,
brand-adobe-indesign,adobeInDesign,,x,,,,,,brand,
brand-adobe-photoshop,adobePhotoshop,,x,,,,,,brand,
brand-adobe-premiere,adobePremiere,,x,,,,,,brand,
brand-alipay,alipay,,x,x,x,,,,brand,
brand-android,android,,,,,,,,brand,
brand-apple,apple,,x,x,x,U+F8FF,,,brand,
brand-pear,pearLogo,,x,x,x,,,,brand,
brand-anyway-fm,anywayFm,,,,,,,,brand,
brand-app-store,appStore,,x,,,,,,brand,
brand-atom,atom,,,,,,,,brand,
brand-bilibili,bilibili,,,x,,,,,brand,
brand-bo-blog,boBlog,,,,,,,,brand,
brand-buddy,buddy,,,,,,,,brand,
brand-facebook,facebook,,,x,,,,,brand,
brand-facebook-alt,facebook.alt,,,x,,,,,brand,
brand-figma,figma,,,,,,,,brand,
brand-finder,finder,,,x,,,,,brand,
brand-github,github,,,x,,,,,brand,
brand-glyphs,glyphs,,x,,,,,,brand,
brand-instagram,instagram,,,x,,,,,brand,
brand-netease-music,neteaseMusic,,,x,,,,,brand,
brand-switch,nintendoSwitch,,,,,,,,brand,
brand-notion,notion,,,,,,,,brand,
brand-paypal,paypal,,,,,,,,brand,
brand-playstation,playstation,,,,,,,,brand,
brand-podcast,podcast,,,x,,,,,brand,
brand-qq,qq,,x,,,,,,brand,
brand-sina-weibo,sinaWeibo,,,x,,,,,brand,
brand-steam,steam,,,,,,,,brand,
brand-telegram,telegram,,,,,,,,brand,
brand-telegram-alt,telegram.alt,,,x,,,,,brand,
brand-tiktok,tiktok,,,x,,,,,brand,
brand-twitter,twitter,,,x,,,,,brand,
brand-twitter-x,twitter.alt,,,x,,,,,brand,
brand-unicode,unicode,,,x,,,,,brand,
brand-unsplash,unsplash,,x,,,,,,brand,
brand-wechat,wechat,,x,x,x,,,,brand,
brand-wechat-moments,wechatMoments,,,x,,,,,brand,
brand-whats-app,whatsApp,,,,,,,,brand,
brand-windows,windows,,,x,,,,,brand,
brand-windows-alt,windows.alt,,,,,,,,brand,
brand-windows-alt2,windows.alt2,,,,,,,,brand,
brand-windows-alt3,windows.alt3,,,,,,,,brand,
brand-xiaohongshu,xiaohongshu,,,,,,,,brand,
brand-xiaoyuzhou,xiaoyuzhou,,,,,,,,brand,
brand-zhubai,zhubai,,,,,,,,brand,
file-graphics,fileGraphics,,x,,x,,,,file,
file-vector,fileVector,,x,,x,,,,file,
file-text,fileFont,,x,,x,,,,file,
file-otf,fileOtf,,x,,x,,,,file,
file-ttf,fileTtf,,x,,x,,,,file,
file-woff,fileWoff,,x,,x,,,,file,
file-woff2,fileWoff2,,x,,x,,,,file,
language-cyrillic,languageCyrillic,,x,x,x,,,,language,
language-greek,languageGreek,,x,x,x,,,,language,
language-han,languageHan,,x,x,x,,,,language,
language-hangul,languageHangul,,x,x,x,,,,language,
language-hebrew,languageHebrew,,x,x,x,,,,language,
language-hira,languageHira,,x,x,x,,,,language,
language-latin,languageLatin,,x,x,x,,,,language,
language-thai,languageThai,,x,x,x,,,,language,
translate-arabic-latin,translateArabicLatin,,,,,,,,translate,
translate-cyrillic-latin,translateCyrillicLatin,,,,,,,,translate,
translate-greek-latin,translateGreekLatin,,,,,,,,translate,
translate-han-latin,translateHanLatin,,,,,,,,translate,
translate-hangul-latin,translateHangulLatin,,,,,,,,translate,
translate-hebrew-latin,translateHebrewLatin,,,,,,,,translate,
translate-hira-latin,translateHiraLatin,,,,,,,,translate,
translate-thai-latin,translateThaiLatin,,,,,,,,translate,
translate-latin-han,translateLatinHan,,,,,,,,translate,
otfeature-acps,otfeatureAcps,,,,x,,,,opentype,
otfeature-c2sc,otfeatureC2sc,,,,x,,,,opentype,
otfeature-calt,otfeatureCalt,,,,x,,,,opentype,
otfeature-ccmp,otfeatureCcmp,,,,x,,,,opentype,
otfeature-dlig,otfeatureDlig,,,,x,,,,opentype,
otfeature-frac,otfeatureFrac,,,,x,,,,opentype,
otfeature-fwid,otfeatureFwid,,,,x,,,,opentype,
otfeature-hrzt,otfeatureHrzt,,,,x,,,,opentype,
otfeature-hwid,otfeatureHwid,,,,x,,,,opentype,
otfeature-liga,otfeatureLiga,,,,x,,,,opentype,
otfeature-onum,otfeatureOnum,,,,x,,,,opentype,
otfeature-ordn,otfeatureOrdn,,,,x,,,,opentype,
otfeature-smcp,otfeatureSmcp,,,,x,,,,opentype,
otfeature-ss01,otfeatureSs01,,,,x,,,,opentype,
otfeature-ss02,otfeatureSs02,,,,x,,,,opentype,
otfeature-ss03,otfeatureSs03,,,,x,,,,opentype,
otfeature-subs,otfeatureSubs,,,,x,,,,opentype,
otfeature-sups,otfeatureSups,,,,x,,,,opentype,
otfeature-vert,otfeatureVert,,,,x,,,,opentype,
otfeature-zero,otfeatureZero,,,,x,,,,opentype,
orthogon-7x7,orthogon7x7,,,,,,,,typography,
orthogon-7x9,orthogon7x9,,,,,,,,typography,
orthogon-9x7,orthogon9x7,,,,,,,,typography,
orthogon-9x9,orthogon9x9,,,,,,,,typography,
monospaced,monospaced,,,,,,,,typography,
parallelogram,parallelogram,,,,,,,,typography,
line-gap,lineGap,,,x,,,,,typography,
line-height,lineHeight,,,x,,,,,typography,
adjustments,adjustments,,x,,,,,,ui,
annotation,annotation,,,,,,,,ui,
app-notifacation,appNotifacation,,,x,,,,,ui,
arrows-maximize,arrowsMaximize,,,,,,,,ui,
arrows-minimize,arrowsMinimize,,,,,,,,ui,
bezier,bezier,,,x,,,,,ui,
bigger,bigger,,,x,,,,,ui,
smaller,smaller,,,x,,,,,ui,
code,code,,x,x,,,,,ui,
contrast,contrast,,x,x,x,,,,ui,
copies,copies,,x,x,x,,,,ui,
cube,cube,,,x,,,,,ui,
cursor-arrow,cursorArrow,,x,x,x,,,,ui,
cursor-text,cursorText,,,x,,,,,ui,
device-rotate,deviceRotate,,,,,,,,ui,
display-dot-matrix,displayDotMatrix,,,x,,,,,ui,
download,download,,,x,,,,,ui,
duplicate,duplicate,,x,x,x,,,,ui,
filter,filter,,,x,,,,,ui,
grid,grid,,,x,,,,,ui,
grid-disabled,gridDisabled,,,,,,,,ui,
grid-enabled,gridEnabled,,,,,,,,ui,
hashtag,hashtag,,,x,,,,,ui,
invert,invert,,,x,,,,,ui,
location-pin,locationPin,,x,x,x,,,,ui,
menu,menu,,,x,,,,,ui,
diagonal-cross,diagonalCross,,,x,,,,,ui,
mic,mic,,,x,,,,,ui,
mic-mv51,micMv51,,,,,,,,ui,
page-graphics,pageGraphics,,x,,x,,,,ui,
revert,revert,,,,,,,,ui,
ruler-right-angle,rulerRightAngle,,,,,,,,ui,
scan,scan,,,x,,,,,ui,
share,share,,,,,,,,ui,
size-emoji,sizeEmoji,,,x,,,,,ui,
size-text,sizeText,,x,x,x,,,,ui,
text-edit,textEdit,,,x,,,,,ui,
view-grid,viewGrid,,,x,,,,,ui,
view-grid-alt,viewGrid.alt,,,,,,,,ui,
view-list,viewList,,,x,,,,,ui,
webcam,webcam,,,x,,,,,ui,
window-browser,windowBrowser,,,x,,,,,ui,
wireless,wireless,,x,x,,,,,ui,
zoom-in,zoomIn,,x,x,x,,,,ui,
zoom-out,zoomOut,,x,x,x,,,,ui,
,ARegion,🇦,,,,U+1F1E6,,,flag,
,BRegion,🇧,,,,U+1F1E7,,,flag,
,CRegion,🇨,,,,U+1F1E8,,,flag,
,DRegion,🇩,,,,U+1F1E9,,,flag,
,ERegion,🇪,,,,U+1F1EA,,,flag,
,FRegion,🇫,,,,U+1F1EB,,,flag,
,GRegion,🇬,,,,U+1F1EC,,,flag,
,HRegion,🇭,,,,U+1F1ED,,,flag,
,IRegion,🇮,,,,U+1F1EE,,,flag,
,JRegion,🇯,,,,U+1F1EF,,,flag,
,KRegion,🇰,,,,U+1F1F0,,,flag,
,LRegion,🇱,,,,U+1F1F1,,,flag,
,MRegion,🇲,,,,U+1F1F2,,,flag,
,NRegion,🇳,,,,U+1F1F3,,,flag,
,ORegion,🇴,,,,U+1F1F4,,,flag,
,PRegion,🇵,,,,U+1F1F5,,,flag,
,QRegion,🇶,,,,U+1F1F6,,,flag,
,RRegion,🇷,,,,U+1F1F7,,,flag,
,SRegion,🇸,,,,U+1F1F8,,,flag,
,TRegion,🇹,,,,U+1F1F9,,,flag,
,URegion,🇺,,,,U+1F1FA,,,flag,
,VRegion,🇻,,,,U+1F1FB,,,flag,
,WRegion,🇼,,,,U+1F1FC,,,flag,
,XRegion,🇽,,,,U+1F1FD,,,flag,
,YRegion,🇾,,,,U+1F1FE,,,flag,
,ZRegion,🇿,,,,U+1F1FF,,,flag,
,ChinaFlag,🇨🇳,,,,U+1F1E8 U+1F1F3,,,flag,
,UnitedKingdomFlag,🇬🇧,,,,U+1F1EC U+1F1E7,,,flag,
,JapanFlag,🇯🇵,,,,U+1F1EF U+1F1F5,,,flag,
,SouthKoreaFlag,🇰🇷,,,,U+1F1F0 U+1F1F7,,,flag,
,MalaysiaFlag,🇲🇾,,,,U+1F1F2 U+1F1FE,,,flag,
,SingaporeFlag,🇸🇬,,,,U+1F1F8 U+1F1EC,,,flag,
,ThailandFlag,🇹🇭,,,,U+1F1F9 U+1F1ED,,,flag,
,UnitedStatesFlag,🇺🇸,,,,U+1F1FA U+1F1F8,,,flag,
,VietnamFlag,🇻🇳,,,,U+1F1FB U+1F1F3,,,flag,
